id,departamento,latitud,longitud,zoom
91,Amazonas,-1.0197222,-71.9383333,6
5,Antioquia,7,-75.5,6
81,Arauca,7.0902778,-70.7616667,6
8,Atlántico,10.75,-75,6
13,Bolívar,9,-74.3333333,6
15,Boyacá,5.5,-72.5,6.5
17,Caldas,5.25,-75.5,6
18,Caquetá,1,-74,6
85,Casanare,5.5,-71.5,6
19,Cauca,2.5,-76.8333333,6
20,Cesar,9.3333333,-73.5,6
27,Chocó,6,-77,6
25,Cundinamarca,5,-74.1666667,6
11,Bogota,5,-74.1666667,6
23,Córdoba,8.3333333,-75.6666667,6
94,Guainía,2.5,-69,6
95,Guaviare,1.6894444,-72.8202778,6
41,Huila,2.5,-75.75,6
44,La Guajira,11.5,-72.5,6
47,Magdalena,10,-74.5,6
50,Meta,3.5,-73,6
52,Nariño,1.5,-78,6
54,Norte de Santander,8,-73,6
86,Putumayo,0.5,-76,6
63,Quindío,4.5,-75.6666667,6
66,Risaralda,5,-76,6
88,San Andrés,12.5847222,-81.7005556,6
68,Santander,7,-73.25,6
70,Sucre,9,-75,6
73,Tolima,3.75,-75.25,6
76,Valle del Cauca,3.75,-76.5,6
97,Vaupés,0.25,-70.75,6
99,Vichada,5,-69.5,6